K06142	CAG0001 CAG0002 CAG0003 CAG0004 CAG0005 CAG0007 CAG0009 CAG0011 CAG0013 CAG0014 CAG0019 CAG0020 CAG0021 CAG0022 CAG0025 CAG0028 CAG0029 CAG0033 CAG0034 CAG0036 CAG0037 CAG0040 CAG0042 CAG0043 CAG0046 CAG0048 CAG0054 CAG0059 CAG0069 CAG0081 CAG0089 CAG0090 CAG0098 CAG0105 
K09904	CAG0001 
K03449	CAG0001 CAG0002 CAG0003 CAG0004 CAG0007 CAG0010 CAG0012 CAG0013 CAG0014 CAG0016 CAG0017 CAG0018 CAG0021 CAG0023 CAG0025 CAG0027 CAG0028 CAG0038 CAG0051 CAG0053 CAG0055 CAG0065 CAG0069 CAG0075 CAG0076 CAG0091 
K12308	CAG0001 CAG0010 CAG0014 CAG0017 CAG0018 CAG0033 CAG0034 CAG0056 CAG0104 
K01421	CAG0001 CAG0003 CAG0004 CAG0012 CAG0016 CAG0018 CAG0024 CAG0035 CAG0037 CAG0041 CAG0044 CAG0045 CAG0049 CAG0051 CAG0053 CAG0055 CAG0057 CAG0061 CAG0065 CAG0067 CAG0071 CAG0072 CAG0073 CAG0078 CAG0079 CAG0080 CAG0083 CAG0085 CAG0086 CAG0092 CAG0093 CAG0095 CAG0099 CAG0104 
K14347	CAG0001 CAG0002 CAG0004 CAG0007 CAG0009 CAG0011 CAG0012 CAG0014 CAG0016 CAG0017 CAG0020 CAG0021 CAG0023 CAG0024 CAG0033 CAG0035 CAG0038 CAG0040 CAG0045 CAG0046 CAG0055 CAG0061 CAG0065 CAG0072 CAG0081 CAG0082 CAG0095 CAG0105 
K05522	CAG0001 CAG0003 CAG0004 CAG0012 CAG0013 CAG0016 CAG0018 CAG0023 CAG0024 CAG0027 CAG0035 CAG0045 CAG0051 CAG0052 CAG0055 CAG0057 CAG0058 CAG0061 CAG0067 CAG0072 CAG0085 CAG0093 
K00971	CAG0001 CAG0002 CAG0003 CAG0005 CAG0006 CAG0007 CAG0008 CAG0009 CAG0010 CAG0011 CAG0012 CAG0013 CAG0015 CAG0017 CAG0018 CAG0019 CAG0020 CAG0021 CAG0022 CAG0023 CAG0024 CAG0026 CAG0027 CAG0029 CAG0032 CAG0034 CAG0035 CAG0036 CAG0037 CAG0039 CAG0043 CAG0048 CAG0050 CAG0051 CAG0054 CAG0057 CAG0058 CAG0059 CAG0067 CAG0070 CAG0079 CAG0081 CAG0082 CAG0085 CAG0087 CAG0088 CAG0094 CAG0100 
K19334	CAG0001 CAG0004 CAG0005 CAG0018 CAG0023 CAG0038 CAG0056 CAG0062 CAG0089 
K07148	CAG0001 CAG0002 CAG0003 CAG0004 CAG0006 CAG0007 CAG0009 CAG0012 CAG0014 CAG0016 CAG0017 CAG0018 CAG0023 CAG0027 CAG0029 CAG0034 CAG0037 CAG0038 CAG0040 CAG0045 CAG0048 CAG0051 CAG0053 CAG0054 CAG0055 CAG0057 CAG0061 CAG0062 CAG0069 CAG0072 CAG0073 CAG0087 CAG0090 CAG0091 CAG0093 CAG0096 
K06442	CAG0001 CAG0002 CAG0004 CAG0005 CAG0006 CAG0007 CAG0009 CAG0010 CAG0013 CAG0015 CAG0016 CAG0018 CAG0024 CAG0027 CAG0029 CAG0034 CAG0035 CAG0036 CAG0041 CAG0044 CAG0045 CAG0049 CAG0050 CAG0051 CAG0054 CAG0055 CAG0057 CAG0058 CAG0061 CAG0065 CAG0067 CAG0072 CAG0073 CAG0074 CAG0080 CAG0083 CAG0085 CAG0086 CAG0088 CAG0089 CAG0097 CAG0098 CAG0100 
